latitude,longitude,name
22.6562305556,74.1172777778,106B/0
22.656775,74.1210194444,107/0
22.6557861111,74.1272222222,108/0
22.65503888889999,74.134975,109/0
22.6545833333,74.13875,109/1
22.6555083333,74.1419361111,110/0
22.656225,74.1455527778,110/1
22.6563111111,74.1483388889,110/2
22.6571305556,74.1524333333,111/0
22.6576777778,74.1535444444,111/1
22.6586361111,74.1571583333,112/0
22.6593833333,74.16105,113/0
22.6645305556,74.1720305556,114/0
22.6721805556,74.1814083333,114A/0
22.6769833333,74.1913666667,115/0
22.6817027778,74.2011027778,116/0
22.6811194444,74.2053416667,117/0
22.6814555556,74.2099194444,118/0
22.6813611111,74.2159722222,119/0
22.6804027778,74.2213083333,120/0
22.6826305556,74.2254916667,121/0
22.6835638889,74.2296722222,121A/0
22.6842416667,74.2326,122/0
22.6899194444,74.242325,123/0
22.6874583333,74.2722861111,124/0
22.6902333333,74.2877472222,124A/0
22.6941611111,74.317475,125/0
22.6910194444,74.33235,AP126/0
22.6932611111,74.3402138889,AP127/0
22.6951416667,74.3506166667,AP127A/0
22.6962555556,74.3546944444,127B/0
22.7005888889,74.3817194444,128/0
22.6964888889,74.4296944444,129/0
22.68664722220001,74.4688944444,129/11
22.6818861111,74.4880388889,AP130/0
22.6838222222,74.503375,AP130A/0
22.6836722222,74.5292416667,AP130B/0
22.6830333333,74.5359138889,AP131/0
22.6851972222,74.5834888889,132/0
22.68653055560001,74.6102472222,133/0
22.6856944444,74.6279472222,134/0
22.68265,74.6428944444,135/0
22.6859138889,74.6768055556,136/0
22.6846944444,74.7095138889,137/0
22.68685,74.7240277778,138/0
22.6920666667,74.7431944444,138A/0
22.6924972222,74.7529944444,138B/0
22.6920722222,74.7553388889,AP139/0
22.6901166667,74.7584527778,AP139A/0
22.6786916667,74.7823361111,AP140/0
22.6760222222,74.7855277778,140/1
22.6746444444,74.786825,141/0
22.6668444444,74.7932055556,142/0
22.6648805556,74.7966416667,142/1
22.6635805556,74.7990027778,143/0
22.6602305556,74.8181666667,144/0
22.65911666670001,74.8247972222,145/0
22.66148333330001,74.8283472222,145/1
22.6832638889,74.8618444444,145A/0
22.6871777778,74.8682333333,145A/2
22.6888333333,74.8708444444,145A/3
22.6971888889,74.8842888889,146/0
22.7020777778,74.8881611111,146A/0
22.7039888889,74.8894305556,147/0
22.7062722222,74.8971527778,148/0
22.6968,74.913475,149/0
22.6971083333,74.9150611111,150/0
22.6947777778,74.91795,151/0
22.6844861111,74.9204555556,152/0
22.6840194444,74.9217888889,153/0
