Longitude,Latitude
"[73.69379291483347,","22.57294420615924],"
"[73.69382779453775,","22.572930148507396],"
"[73.69386106714077,","22.5729126229479],"
"[73.69389238892816,","22.57289181052418],"
"[73.69941108518125,","22.568805826281213],"
"[73.70374498549133,","22.567293812597256],"
"[73.7098416938948,","22.567984316206925],"
"[73.70984772586114,","22.56798494935002],"
"[73.71383967310291,","22.568370911103468],"
"[73.72177135789997,","22.57048455156009],"
"[73.72606565271091,","22.571701591807706],"
"[73.72955169197132,","22.572810912155283],"
"[73.729585999396,","22.572820042057376],"
"[73.72962102390166,","22.572825841928353],"
"[73.7296564430391,","22.57282825837235],"
"[73.72969193072605,","22.57282726914265],"
"[73.73574363345799,","22.572367295413816],"
"[73.7436971656335,","22.572408763289754],"
"[73.74726312207517,","22.5728752080109],"
"[73.74730180992918,","22.572878216373716],"
"[73.7473406000893,","22.572877156292112],"
"[73.75220343652093,","22.572488351541494],"
"[73.75801053433632,","22.572057388052873],"
"[73.76119724394555,","22.573733041482882],"
"[73.76122925076396,","22.573747967259283],"
"[73.76126253480398,","22.573759773524838],"
"[73.76129679283432,","22.57376835271962],"
"[73.76133171275026,","22.573773626683636],"
"[73.76136697641704,","22.57377554736891],"
"[73.76140226256814,","22.57377409727721],"
"[73.76143724973225,","22.573769289619467],"
"[73.76147161916195,","22.57376116819542],"
"[73.76589638845648,","22.572489841602486],"
"[73.7703552623265,","22.571799185738193],"
"[73.77463722074563,","22.571168832636335],"
"[73.7746873771377,","22.571157848046344],"
"[73.77820719091135,","22.570126460773718],"
"[73.80379456461493,","22.571894727632046],"
"[73.80822834020282,","22.574048275752556],"
"[73.81245757014491,","22.579093769006384],"
"[73.81524951308351,","22.582979776864043],"
"[73.81527017418342,","22.583005958130553],"
"[73.82219795198343,","22.59101429143055],"
"[73.82222091518696,","22.591038533292565],"
"[73.82224597039782,","22.591060606194507],"
"[73.8222729135548,","22.591080330364505],"
"[73.82230152522045,","22.591097545159847],"
"[73.82233157236823,","22.591112110375317],"
"[73.83609268346822,","22.59703155487532],"
"[73.83612618706101,","22.59704408448543],"
"[73.83616074397708,","22.597053320361702],"
"[73.83619603124386,","22.597059176184654],"
"[73.83623171906281,","22.597061597225146],"
"[73.83626747389182,","22.59706056085588],"
"[73.84040239440598,","22.59674015277354],"
"[73.84694838461874,","22.597063992455745],"
"[73.84697811064106,","22.597064267379565],"
"[73.84700776279087,","22.597062155035307],"
"[73.85316876295417,","22.596373589086415],"
"[73.8569755599318,","22.59600859079562],"
"[73.86055897791537,","22.597703595804028],"
"[73.86956806520014,","22.60414815349644],"
"[73.86959696108697,","22.604166855424502],"
"[73.86962746984136,","22.604182791242458],"
"[73.8721629565275,","22.60536046162995],"
"[73.87335447669282,","22.606942078572835],"
"[73.87337725362346,","22.60696946322746],"
"[73.8734025582055,","22.606994530856106],"
"[73.87343015593109,","22.607017049146886],"
"[73.87345979104093,","22.607036809413653],"
"[73.87349118889442,","22.60705362853],"
"[73.87352405851489,","22.607067350626345],"
"[73.87691572521489,","22.608295128426345],"
"[73.8769523006313,","22.60830626774832],"
"[73.87698983031648,","22.608313573110117],"
"[73.87702791352092,","22.60831696650363],"
"[73.87706614358457,","22.608316411693515],"
"[73.87710411227914,","22.60831191460415],"
"[73.88101932602723,","22.60764152008212],"
"[73.89262221728998,","22.60840603033563],"
"[73.90260867710697,","22.610792714021553],"
"[73.90643969260056,","22.612021684255396],"
"[73.91108663889239,","22.61593576893481],"
"[73.91111596082594,","22.615958068847544],"
"[73.91114735492236,","22.61597734247213],"
"[73.91118050997837,","22.615993398753044],"
"[73.9112150973346,","22.61600607852763],"
"[73.91125077413365,","22.61601525610386],"
"[73.92287239913327,","22.618395054218578],"
"[73.93221666045869,","22.621256560987543],"
"[73.93224949241348,","22.621264991279013],"
"[73.93228295810641,","22.621270381498544],"
"[73.9323167766586,","22.621272686405817],"
"[73.93956399885859,","22.621433797505816],"
"[73.93959758742264,","22.62143301842399],"
"[73.93963096683966,","22.621429195712572],"
"[73.93966386188218,","22.621422360891444],"
"[73.93969600131665,","22.6214125703166],"
"[73.93972712013975,","22.621399904715492],"
"[73.9397569617636,","22.62138446852137],"
"[73.951883584921,","22.614396291728973],"
"[73.96303945782356,","22.614852643345746],"
"[73.96961906949018,","22.61545457242748],"
"[73.96967216382077,","22.615455602889078],"
"[73.97309438533942,","22.615276050164336],"
"[73.97894121642443,","22.619276227681475],"
"[73.98692661357283,","22.627474827192295],"
"[73.98695313761479,","22.62749951626339],"
"[73.98698194950617,","22.627521492385622],"
"[73.98701277289801,","22.627540544775222],"
"[73.98704531214803,","22.627556490691376],"
"[73.98707925515632,","22.627569177188988],"
"[73.98711427635884,","22.627578482585633],"
"[73.98715003985008,","22.627584317628692],"
"[73.98718620260486,","22.627586626351402],"
"[73.98722241776845,","22.627585386609674],"
"[73.99071963996845,","22.627293719909673],"
"[73.9907228582996,","22.627293437348662],"
"[73.99463693572542,","22.626932564976062],"
"[73.99826489885191,","22.62664943398829],"
"[73.99829929648472,","22.62664512055603],"
"[73.99833313943253,","22.62663760672056],"
"[73.99836613059857,","22.626626958443524],"
"[73.99839798036356,","22.626613269202853],"
"[73.99842840912825,","22.62659665917217],"
"[73.99845714976792,","22.6265772741658],"
"[74.00088315929392,","22.624770033312632],"
"[74.00385342103456,","22.62374850043827],"
"[74.00947273236095,","22.623047118000287],"
"[74.01755971972489,","22.62281489033573],"
"[74.0202478932994,","22.624602539095527],"
"[74.02027645871404,","22.624619731319388],"
"[74.02030645574625,","22.62463428238579],"
"[74.02033764083602,","22.624646074147783],"
"[74.02036976077694,","22.624655010862504],"
"[74.03006976077694,","22.626888344262504],"
"[74.03010549754977,","22.626894744525927],"
"[74.03014168953932,","22.626897611614673],"
"[74.0301779882872,","22.626896917924256],"
"[74.03021404430721,","22.626892670133564],"
"[74.0302495104501,","22.62688490914055],"
"[74.03028404524603,","22.626873709668455],"
"[74.05250376987814,","22.618442204016667],"
"[74.06327556639371,","22.62195373881753],"
"[74.06806229515793,","22.62648535819332],"
"[74.06808906205072,","22.626508379098823],"
"[74.0681179012076,","22.62652874406065],"
"[74.0681485500577,","22.626546267662654],"
"[74.06818072955352,","22.626560790358305],"
"[74.06821414671151,","22.626572179923325],"
"[74.06824849727965,","22.62658033265954],"
"[74.06828346850753,","22.62658517433902],"
"[74.06831874199383,","22.626586660879894],"
